date,timestamp,strategy,entry,opening_high,opening_low,swing_high,candle_type,symbol,expiry,strike,option_type,itm_rank,breakout_timestamp,confirmation_timestamp,target,exit_time,exit_price,outcome,mfe,mae,points_gained_lost,time_to_exit_minutes,entry_hour,entry_minute,before_10,entry_before_10,entry_after_10,weekday,volatility_10,premium_change,lower_wick,upper_wick,range,rejection_characteristic,breakout_characteristic,false_breakout,time_to_target_minutes
2026-08-28,2026-08-28 04:35:00+00:00,EKALAYAVA,1037.8,1000.0,980.95,1025.8,unknown,NSE-NIFTY-01Sep26-23200-CE,2026-09-01,23200.0,CE,2,2026-08-28 04:35:00+00:00,2026-08-28 04:35:00+00:00,1000.0,2026-08-28 04:45:00+00:00,1000.0,TARGET,28.799999999999955,-91.89999999999998,-37.799999999999955,10.0,10,5,False,False,True,4,0.023875456508841427,12.700000000000045,0.0,0.0,0.0,unknown,True,False,10.0
2026-08-31,2026-08-31 09:30:00+00:00,EKALAYAVA,935.35,881.95,813.6,931.75,unknown,NSE-NIFTY-01Sep26-23200-CE,2026-09-01,23200.0,CE,2,2026-08-31 09:30:00+00:00,2026-08-31 09:30:00+00:00,881.95,2026-08-31 09:35:00+00:00,881.95,TARGET,4.2999999999999545,-30.350000000000023,-53.39999999999998,5.0,15,0,False,False,True,0,0.02241054831559532,45.450000000000045,0.0,0.0,0.0,unknown,True,False,5.0
2026-09-01,2026-09-01 05:00:00+00:00,EKALAYAVA,873.35,852.4,840.7,862.85,unknown,NSE-NIFTY-01Sep26-23200-CE,2026-09-01,23200.0,CE,2,2026-09-01 05:00:00+00:00,2026-09-01 05:00:00+00:00,852.4,2026-09-01 05:15:00+00:00,852.4,TARGET,67.94999999999993,-109.25,-20.950000000000045,15.0,10,30,False,False,True,1,0.030832283128982944,32.5,0.0,0.0,0.0,unknown,True,False,15.0
2026-08-24,2026-08-24 05:30:00+00:00,EKALAYAVA,7.6,7.05,5.0,6.05,lower_rejection,NSE-NIFTY-01Sep26-23500-PE,2026-09-01,23500.0,PE,2,2026-08-24 05:30:00+00:00,2026-08-24 05:30:00+00:00,7.05,2026-08-24 05:35:00+00:00,7.05,TARGET,2.0500000000000007,-0.5999999999999996,-0.5499999999999998,5.0,11,0,False,False,True,0,0.06887334473176993,0.5999999999999996,0.7999999999999998,0.3000000000000007,1.75,lower_rejection,True,False,5.0
2026-08-27,2026-08-27 05:25:00+00:00,EKALAYAVA,3.6,3.05,2.4,3.6,strong_green,NSE-NIFTY-01Sep26-23500-PE,2026-09-01,23500.0,PE,2,2026-08-27 05:25:00+00:00,2026-08-27 05:25:00+00:00,3.05,2026-08-27 05:30:00+00:00,3.05,TARGET,1.1,-0.9500000000000002,-0.5500000000000003,5.0,10,55,False,False,True,3,0.04796835644583238,0.25,0.0,0.10000000000000009,0.30000000000000027,strong_green,True,False,5.0
2026-08-31,2026-08-31 05:00:00+00:00,EKALAYAVA,2.5,2.25,1.65,2.45,strong_green,NSE-NIFTY-01Sep26-23500-PE,2026-09-01,23500.0,PE,2,2026-08-31 05:00:00+00:00,2026-08-31 05:00:00+00:00,2.25,2026-08-31 05:05:00+00:00,2.25,TARGET,0.25,-1.35,-0.25,5.0,10,30,False,False,True,0,0.03720498056321509,0.1499999999999999,0.0,0.04999999999999982,0.25,strong_green,True,False,5.0
2026-08-24,2026-08-24 05:25:00+00:00,EKALAYAVA,7.65,7.05,5.2,6.2,strong_green,NSE-NIFTY-01Sep26-23550-PE,2026-09-01,23550.0,PE,3,2026-08-24 05:25:00+00:00,2026-08-24 05:25:00+00:00,7.05,2026-08-24 05:30:00+00:00,7.05,TARGET,3.299999999999999,-0.9500000000000002,-0.6000000000000005,5.0,10,55,False,False,True,0,0.07020895202838243,1.3500000000000005,0.04999999999999982,0.0,1.4500000000000002,strong_green,True,False,5.0
2026-08-27,2026-08-27 04:30:00+00:00,EKALAYAVA,3.8,3.35,2.5,3.65,normal,NSE-NIFTY-01Sep26-23550-PE,2026-09-01,23550.0,PE,3,2026-08-27 04:30:00+00:00,2026-08-27 04:30:00+00:00,3.35,2026-08-27 04:35:00+00:00,3.35,TARGET,1.5,-0.9499999999999997,-0.44999999999999973,5.0,10,0,False,False,True,3,0.056472319704907264,0.25,0.050000000000000266,0.10000000000000009,0.3500000000000001,normal,True,False,5.0
2026-08-31,2026-08-31 05:00:00+00:00,EKALAYAVA,2.85,2.45,1.8,2.85,strong_green,NSE-NIFTY-01Sep26-23550-PE,2026-09-01,23550.0,PE,3,2026-08-31 05:00:00+00:00,2026-08-31 05:00:00+00:00,2.45,2026-08-31 05:05:00+00:00,2.45,TARGET,0.3999999999999999,-1.5,-0.3999999999999999,5.0,10,30,False,False,True,0,0.03770819306972768,0.25,0.04999999999999982,0.04999999999999982,0.2999999999999998,strong_green,True,False,5.0
2026-09-01,2026-09-01 05:35:00+00:00,EKALAYAVA,930.45,912.55,904.2,930.0,strong_green,NSE-NIFTY-08Sep26-23200-CE,2026-09-08,23200.0,CE,3,2026-09-01 05:35:00+00:00,2026-09-01 05:35:00+00:00,912.55,2026-09-01 06:30:00+00:00,912.55,TARGET,50.5,-137.0,-17.90000000000009,55.0,11,5,False,False,True,1,0.01790588346738214,8.450000000000045,0.0,0.0,0.4500000000000455,strong_green,True,False,55.0
2026-09-02,2026-09-02 04:45:00+00:00,EKALAYAVA,709.5,696.25,680.05,702.9,strong_red,NSE-NIFTY-08Sep26-23200-CE,2026-09-08,23200.0,CE,3,2026-09-02 04:45:00+00:00,2026-09-02 04:45:00+00:00,696.25,2026-09-02 04:50:00+00:00,696.25,TARGET,49.14999999999998,-39.450000000000045,-13.25,5.0,10,15,False,False,True,2,0.020811207176177526,13.399999999999977,0.0,0.0,0.5,strong_red,True,False,5.0
2026-09-03,2026-09-03 04:05:00+00:00,EKALAYAVA,852.35,841.65,828.25,841.65,strong_green,NSE-NIFTY-08Sep26-23200-CE,2026-09-08,23200.0,CE,3,2026-09-03 04:05:00+00:00,2026-09-03 04:05:00+00:00,841.65,2026-09-03 04:10:00+00:00,841.65,TARGET,15.899999999999977,-148.75,-10.700000000000045,5.0,9,35,True,True,False,3,0.05172513560442478,17.350000000000023,0.0,0.0,2.3500000000000227,strong_green,True,False,5.0
2026-09-08,2026-09-08 04:40:00+00:00,EKALAYAVA,525.0,513.6,504.25,504.0,strong_green,NSE-NIFTY-08Sep26-23200-CE,2026-09-08,23200.0,CE,3,2026-09-08 04:40:00+00:00,2026-09-08 04:40:00+00:00,513.6,2026-09-08 04:45:00+00:00,513.6,TARGET,5.649999999999977,-165.14999999999998,-11.399999999999977,5.0,10,10,False,False,True,1,0.03228286352408498,27.05000000000001,3.1999999999999886,0.0,30.149999999999977,strong_green,True,False,5.0
2026-09-08,2026-09-08 04:40:00+00:00,EKALAYAVA,474.9,470.9,454.15,456.65,strong_green,NSE-NIFTY-08Sep26-23250-CE,2026-09-08,23250.0,CE,2,2026-09-08 04:40:00+00:00,2026-09-08 04:40:00+00:00,470.9,2026-09-08 04:45:00+00:00,470.9,TARGET,7.800000000000011,-168.04999999999995,-4.0,5.0,10,10,False,False,True,1,0.03169007123164698,26.94999999999999,2.6999999999999886,2.0,31.599999999999966,strong_green,True,False,5.0
2026-08-24,2026-08-24 05:25:00+00:00,EKALAYAVA,15.2,13.95,12.1,12.65,strong_green,NSE-NIFTY-08Sep26-23500-PE,2026-09-08,23500.0,PE,2,2026-08-24 05:25:00+00:00,2026-08-24 05:25:00+00:00,13.95,2026-08-24 05:30:00+00:00,13.95,TARGET,8.2,-1.0999999999999996,-1.25,5.0,10,55,False,False,True,0,0.05564272467875967,2.25,0.40000000000000036,0.10000000000000142,2.8000000000000007,strong_green,True,False,5.0
2026-08-27,2026-08-27 05:20:00+00:00,EKALAYAVA,12.3,10.9,9.2,11.95,strong_green,NSE-NIFTY-08Sep26-23500-PE,2026-09-08,23500.0,PE,2,2026-08-27 05:20:00+00:00,2026-08-27 05:20:00+00:00,10.9,2026-08-27 05:25:00+00:00,10.9,TARGET,5.25,-1.5500000000000007,-1.4000000000000004,5.0,10,50,False,False,True,3,0.031705558109039855,0.75,0.0,0.29999999999999893,1.0,strong_green,True,False,5.0
2026-08-31,2026-08-31 04:10:00+00:00,EKALAYAVA,16.7,16.3,13.1,16.5,normal,NSE-NIFTY-08Sep26-23500-PE,2026-09-08,23500.0,PE,2,2026-08-31 04:10:00+00:00,2026-08-31 04:10:00+00:00,16.3,2026-08-31 04:15:00+00:00,16.3,TARGET,1.5500000000000007,-5.949999999999999,-0.3999999999999986,5.0,9,40,True,True,False,0,0.12961245942774097,1.1999999999999993,0.3500000000000014,0.3000000000000007,1.8000000000000007,normal,True,False,5.0
2026-09-01,2026-09-01 08:30:00+00:00,EKALAYAVA,15.3,13.1,11.3,9.4,strong_green,NSE-NIFTY-08Sep26-23500-PE,2026-09-08,23500.0,PE,2,2026-09-01 08:30:00+00:00,2026-09-01 08:30:00+00:00,13.1,2026-09-01 08:35:00+00:00,13.1,TARGET,3.8000000000000007,-2.450000000000001,-2.200000000000001,5.0,14,0,False,False,True,1,0.10982865593928139,3.1500000000000004,0.049999999999998934,0.049999999999998934,3.1999999999999993,strong_green,True,False,5.0
2026-09-07,2026-09-07 04:40:00+00:00,EKALAYAVA,4.9,4.75,3.3,4.45,strong_green,NSE-NIFTY-08Sep26-23500-PE,2026-09-08,23500.0,PE,2,2026-09-07 04:40:00+00:00,2026-09-07 04:40:00+00:00,4.75,2026-09-07 04:45:00+00:00,4.75,TARGET,2.3,-1.9000000000000004,-0.15000000000000036,5.0,10,10,False,False,True,0,0.07470569073629327,0.75,0.0,0.09999999999999964,0.9000000000000004,strong_green,True,False,5.0
