date,timestamp,strategy,entry,sl,target,opening_high,opening_low,candle_type,symbol,expiry,strike,option_type,itm_rank,exit_time,exit_price,outcome,mfe,mae,points_gained_lost,time_to_exit_minutes,entry_hour,entry_minute,before_10
2026-08-28,2026-08-28 03:55:00+00:00,LEVEL_TO_LEVEL,1025.8,976.95,1000.0,1000.0,980.95,strong_green,NSE-NIFTY-01Sep26-23200-CE,2026-09-01,23200.0,CE,2,2026-08-28 04:00:00+00:00,1000.0,TARGET,40.799999999999955,-261.69999999999993,-25.799999999999955,5.0,9,25,True
2026-09-01,2026-09-01 03:55:00+00:00,LEVEL_TO_LEVEL,858.35,836.7,852.4,852.4,840.7,strong_green,NSE-NIFTY-01Sep26-23200-CE,2026-09-01,23200.0,CE,2,2026-09-01 04:05:00+00:00,852.4,TARGET,82.94999999999993,-94.25,-5.9500000000000455,10.0,9,25,True
2026-08-25,2026-08-25 04:05:00+00:00,LEVEL_TO_LEVEL,5.7,2.25,8.0,8.0,6.25,strong_green,NSE-NIFTY-01Sep26-23500-PE,2026-09-01,23500.0,PE,2,2026-08-28 10:00:00+00:00,2.25,SL,1.2999999999999998,-2.2,-3.45,4675.0,9,35,True
2026-08-26,2026-08-26 04:00:00+00:00,LEVEL_TO_LEVEL,3.7,-0.3500000000000001,4.7,4.7,3.65,normal,NSE-NIFTY-01Sep26-23500-PE,2026-09-01,23500.0,PE,2,2026-08-27 05:55:00+00:00,4.7,TARGET,0.19999999999999973,-1.3000000000000003,1.0,1555.0,9,30,True
2026-09-01,2026-09-01 04:25:00+00:00,LEVEL_TO_LEVEL,0.65,-3.3,0.9,0.9,0.7,normal,NSE-NIFTY-01Sep26-23500-PE,2026-09-01,23500.0,PE,2,2026-09-01 05:50:00+00:00,0.9,TARGET,0.45000000000000007,-0.6,0.25,85.0,9,55,True
2026-08-25,2026-08-25 03:55:00+00:00,LEVEL_TO_LEVEL,6.55,3.05,9.4,9.4,7.05,upper_rejection,NSE-NIFTY-01Sep26-23550-PE,2026-09-01,23550.0,PE,3,2026-08-26 09:00:00+00:00,3.05,SL,1.7000000000000002,-2.8,-3.5,1745.0,9,25,True
2026-08-26,2026-08-26 04:00:00+00:00,LEVEL_TO_LEVEL,3.95,-0.10000000000000009,6.0,6.0,3.9,normal,NSE-NIFTY-01Sep26-23550-PE,2026-09-01,23550.0,PE,3,,,OPEN,0.25,-1.4500000000000002,,,9,30,True
2026-09-01,2026-09-01 04:20:00+00:00,LEVEL_TO_LEVEL,0.7,-3.3,0.95,0.95,0.7,normal,NSE-NIFTY-01Sep26-23550-PE,2026-09-01,23550.0,PE,3,2026-09-01 05:45:00+00:00,0.95,TARGET,0.44999999999999996,-0.6499999999999999,0.25,85.0,9,50,True
2026-09-01,2026-09-01 03:55:00+00:00,LEVEL_TO_LEVEL,921.05,900.2,912.55,912.55,904.2,strong_green,NSE-NIFTY-08Sep26-23200-CE,2026-09-08,23200.0,CE,3,2026-09-01 04:00:00+00:00,912.55,TARGET,59.90000000000009,-258.04999999999995,-8.5,5.0,9,25,True
2026-09-02,2026-09-02 03:55:00+00:00,LEVEL_TO_LEVEL,692.0,676.05,696.25,696.25,680.05,strong_green,NSE-NIFTY-08Sep26-23200-CE,2026-09-08,23200.0,CE,3,2026-09-02 04:00:00+00:00,696.25,TARGET,176.25,-21.950000000000045,4.25,5.0,9,25,True
