date,timestamp,strategy,entry,opening_high,opening_low,swing_high,target,candle_type,symbol,expiry,strike,option_type,itm_rank,breakout_timestamp,confirmation_timestamp,exit_time,exit_price,outcome,mfe,mae,points_gained_lost,time_to_exit_minutes,entry_hour,entry_minute,before_10,entry_before_10,entry_after_10,weekday,volatility_10,premium_change,lower_wick,upper_wick,range,rejection_characteristic,breakout_characteristic,false_breakout,time_to_target_minutes
2026-07-20,2026-07-20 04:25:00+00:00,EKALAYAVA,142.15,181.9,158.0,140.65,181.9,upper_rejection,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-07-20 04:25:00+00:00,2026-07-20 04:25:00+00:00,,,OPEN,29.849999999999994,-16.150000000000006,,,9,55,True,True,False,0,,3.5999999999999943,0.0,3.1500000000000057,3.5,upper_rejection,False,False,
2026-07-21,2026-07-21 05:30:00+00:00,EKALAYAVA,126.4,162.9,140.0,125.05,162.9,normal,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-07-21 05:30:00+00:00,2026-07-21 05:30:00+00:00,,,OPEN,-0.5500000000000114,-18.650000000000006,,,11,0,False,False,True,1,0.02400720163452965,1.6500000000000057,0.45000000000000284,0.14999999999999147,1.5499999999999972,normal,False,False,
2026-07-22,2026-07-22 04:35:00+00:00,EKALAYAVA,82.9,109.45,87.95,80.35,109.45,strong_green,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-07-22 04:35:00+00:00,2026-07-22 04:35:00+00:00,,,OPEN,-0.20000000000000284,-18.05000000000001,,,10,5,False,False,True,2,0.036596192219923274,2.75,0.0,0.19999999999998863,3.5,strong_green,False,False,
2026-07-23,2026-07-23 04:20:00+00:00,EKALAYAVA,50.6,54.35,49.6,51.5,54.35,upper_rejection,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-07-23 04:20:00+00:00,2026-07-23 04:20:00+00:00,2026-07-23 04:30:00+00:00,54.35,TARGET,9.0,-13.25,3.75,10.0,9,50,True,True,False,3,0.091203614265503,0.0,0.3999999999999986,1.6000000000000014,2.3500000000000014,upper_rejection,False,False,10.0
2026-07-24,2026-07-24 04:45:00+00:00,EKALAYAVA,26.2,33.65,19.05,26.4,33.65,upper_rejection,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-07-24 04:45:00+00:00,2026-07-24 04:45:00+00:00,2026-07-24 06:55:00+00:00,33.65,TARGET,9.400000000000002,-2.349999999999998,7.449999999999999,130.0,10,15,False,False,True,4,0.03841804390093691,0.3000000000000007,0.0,0.3000000000000007,0.5,upper_rejection,False,False,130.0
2026-07-27,2026-07-27 05:25:00+00:00,EKALAYAVA,27.3,36.45,28.15,27.4,36.45,normal,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-07-27 05:25:00+00:00,2026-07-27 05:25:00+00:00,,,OPEN,8.499999999999996,-2.6000000000000014,,,10,55,False,False,True,0,0.038810491913021265,0.4499999999999993,0.25,0.4499999999999993,1.4499999999999993,normal,False,False,
2026-07-28,2026-07-28 05:00:00+00:00,EKALAYAVA,22.25,31.3,23.0,22.4,31.3,strong_green,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-07-28 05:00:00+00:00,2026-07-28 05:00:00+00:00,2026-07-29 03:45:00+00:00,31.3,OPEN,3.6999999999999993,-1.8999999999999986,9.05,1365.0,10,30,False,False,True,1,0.04861184539681029,1.5,0.0,0.25,1.8000000000000007,strong_green,False,False,
2026-07-29,2026-07-29 07:10:00+00:00,EKALAYAVA,42.6,45.0,35.2,44.65,45.0,normal,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-07-29 07:10:00+00:00,2026-07-29 07:10:00+00:00,2026-07-29 07:35:00+00:00,45.0,TARGET,13.299999999999997,-4.700000000000003,2.3999999999999986,25.0,12,40,False,False,True,2,0.03970134375872539,-1.6499999999999986,0.6499999999999986,0.6500000000000057,3.0,normal,False,False,25.0
2026-07-30,2026-07-30 04:00:00+00:00,EKALAYAVA,40.75,41.3,27.0,43.75,41.3,upper_rejection,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-07-30 04:00:00+00:00,2026-07-30 04:00:00+00:00,2026-07-30 04:05:00+00:00,41.3,TARGET,25.200000000000003,-13.55,0.5499999999999972,5.0,9,30,True,True,False,3,0.024409693704784036,-0.8500000000000014,1.75,3.5,5.899999999999999,upper_rejection,True,False,5.0
2026-07-31,2026-07-31 04:15:00+00:00,EKALAYAVA,53.2,62.3,53.45,53.25,62.3,lower_rejection,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-07-31 04:15:00+00:00,2026-07-31 04:15:00+00:00,2026-07-31 06:55:00+00:00,62.3,TARGET,24.599999999999994,-7.700000000000003,9.099999999999994,160.0,9,45,True,True,False,4,0.09105074075749592,0.75,4.800000000000004,0.7999999999999972,6.100000000000001,lower_rejection,False,False,160.0
2026-08-03,2026-08-03 04:05:00+00:00,EKALAYAVA,138.0,147.95,103.85,139.95,147.95,lower_rejection,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-08-03 04:05:00+00:00,2026-08-03 04:05:00+00:00,2026-08-03 04:25:00+00:00,147.95,TARGET,34.900000000000006,-6.449999999999989,9.949999999999989,20.0,9,35,True,True,False,0,0.5758004028864072,-1.4499999999999886,5.599999999999994,0.8000000000000114,7.599999999999994,lower_rejection,False,False,20.0
2026-08-04,2026-08-04 04:15:00+00:00,EKALAYAVA,180.65,191.85,150.0,178.5,191.85,normal,NSE-NIFTY-04Aug26-24450-CE,2026-08-04,24450.0,CE,3,2026-08-04 04:15:00+00:00,2026-08-04 04:15:00+00:00,,,OPEN,10.349999999999994,-144.15,,,9,45,True,True,False,1,0.07195827373093155,10.650000000000006,1.450000000000017,4.400000000000006,16.350000000000023,normal,False,False,
2026-07-20,2026-07-20 04:30:00+00:00,EKALAYAVA,126.6,165.95,138.25,127.75,165.95,indecision,NSE-NIFTY-04Aug26-24500-CE,2026-08-04,24500.0,CE,2,2026-07-20 04:30:00+00:00,2026-07-20 04:30:00+00:00,,,OPEN,25.450000000000017,-16.549999999999997,,,10,0,False,False,True,0,,1.0999999999999943,2.1499999999999915,2.700000000000017,5.8500000000000085,indecision,False,False,
2026-07-21,2026-07-21 05:30:00+00:00,EKALAYAVA,109.6,143.5,119.9,108.5,143.5,normal,NSE-NIFTY-04Aug26-24500-CE,2026-08-04,24500.0,CE,2,2026-07-21 05:30:00+00:00,2026-07-21 05:30:00+00:00,,,OPEN,0.0,-16.25,,,11,0,False,False,True,1,0.027751512064357296,1.8999999999999915,0.9000000000000057,0.0,2.0,normal,False,False,
2026-07-22,2026-07-22 04:35:00+00:00,EKALAYAVA,71.7,91.25,75.55,69.3,91.25,strong_green,NSE-NIFTY-04Aug26-24500-CE,2026-08-04,24500.0,CE,2,2026-07-22 04:35:00+00:00,2026-07-22 04:35:00+00:00,,,OPEN,0.3999999999999915,-16.050000000000004,,,10,5,False,False,True,2,0.038260820058403595,2.8500000000000085,0.3499999999999943,0.20000000000000284,3.5,strong_green,False,False,
2026-07-23,2026-07-23 04:20:00+00:00,EKALAYAVA,43.3,47.05,41.65,43.95,47.05,indecision,NSE-NIFTY-04Aug26-24500-CE,2026-08-04,24500.0,CE,2,2026-07-23 04:20:00+00:00,2026-07-23 04:20:00+00:00,2026-07-23 04:30:00+00:00,47.05,TARGET,7.100000000000001,-11.799999999999997,3.75,10.0,9,50,True,True,False,3,0.08963246826571188,-0.10000000000000142,1.0,1.1000000000000014,2.299999999999997,indecision,False,False,10.0
